Designator,Mid X,Mid Y,Rotation,Layer
D1,163.35,-96.7,0.0,top
D2,163.35,-114.7,0.0,top
D3,140.25,-131.0,90.0,top
J1,121.25,-132.38,0.0,bottom
J2,125.075,-80.421,0.0,bottom
J3,160.95,-138.225001,90.0,top
J4,151.4,-137.45,0.0,top
J5,116.55,-89.4,0.0,top
J6,138.06,-87.065,90.0,top
Q1,126.9625,-106.4,0.0,top
Q10,135.2875,-119.3,0.0,top
Q11,126.9125,-119.3,0.0,top
Q2,135.0375,-106.4,0.0,top
Q3,126.9916,-101.373399,0.0,top
Q4,135.075,-101.375,0.0,top
Q5,129.775,-96.775,0.0,top
Q6,120.6,-96.175,0.0,top
Q7,145.125,-101.275,0.0,top
Q8,135.2125,-114.475,0.0,top
Q9,127.025,-114.4,0.0,top
R1,124.175,-106.6,270.0,top
R10,132.5375,-97.0,270.0,top
R11,139.4,-126.9,270.0,top
R12,167.425,-95.725,0.0,top
R13,167.475,-115.85,0.0,top
R14,117.7375,-96.4,270.0,top
R15,123.4,-95.975,90.0,top
R16,122.45,-84.025,180.0,top
R17,142.3625,-101.5,270.0,top
R18,147.9375,-101.525,90.0,top
R19,132.45,-114.7,270.0,top
R2,129.775,-106.6,270.0,top
R20,137.975,-114.7,270.0,top
R21,124.25,-114.625,270.0,top
R22,129.8,-114.625,270.0,top
R23,132.5,-119.525,270.0,top
R24,138.05,-119.525,270.0,top
R25,124.15,-119.525,270.0,top
R26,129.675,-119.55,270.0,top
R3,132.25,-106.625,270.0,top
R4,137.825,-106.625,270.0,top
R5,124.125,-101.625,270.0,top
R6,132.2375,-101.6,270.0,top
R7,129.775,-101.6,270.0,top
R8,137.8334,-101.601599,270.0,top
R9,126.9875,-97.0,270.0,top
SW1,132.85,-75.75,270.0,top
SW2,136.45,-127.75,270.0,top
SW3,160.1,-88.425,0.0,top
SW4,166.6,-122.975,180.0,top
U1,140.239999,-105.7098,0.0,top
